Положение X	Положение Y	Положение Z
0.4567	21.6651	-0.2204
0.4570	21.6665	-0.2059
0.4571	21.6685	-0.2276
0.4573	21.6667	-0.2131
0.4574	21.6645	-0.1843
0.4574	21.6668	-0.1915
0.4576	21.6668	-0.1626
0.4577	21.6661	-0.1987
0.4580	21.6663	-0.1698
0.4582	21.6637	-0.1770
0.4595	21.6666	-0.2095
0.4602	21.6647	-0.2276
0.4602	21.6628	-0.1986
0.4602	21.6621	-0.1842
0.4603	21.6623	-0.2203
0.4605	21.6615	-0.1625
0.4605	21.6624	-0.1914
0.4605	21.6625	-0.2131
0.4608	21.6659	-0.1698
0.4611	21.6633	-0.2059
0.4622	21.6605	-0.1770
0.4631	21.6603	-0.1734
0.4633	21.6610	-0.2095
0.4639	21.6602	-0.1625
0.4639	21.6604	-0.1697
0.4640	21.6598	-0.2203
0.4642	21.6582	-0.1841
0.4643	21.6591	-0.2275
0.4643	21.6595	-0.2131
0.4645	21.6578	-0.2059
0.4645	21.6601	-0.1986
0.4646	21.6582	-0.1914
0.4650	21.6595	-0.1770
0.4666	21.6556	-0.1661
0.4669	21.6558	-0.1733
0.4669	21.6558	-0.2094
0.4672	21.6532	-0.1842
0.4675	21.6537	-0.1769
0.4676	21.6540	-0.2131
0.4676	21.6544	-0.2274
0.4676	21.6558	-0.2058
0.4680	21.6544	-0.1986
0.4681	21.6548	-0.1914
0.4682	21.6545	-0.2203
0.4684	21.6557	-0.1625
0.4686	21.6526	-0.1697
0.4695	21.6529	-0.1733
0.4700	21.6508	-0.1661
0.4700	21.6522	-0.2094
0.4701	21.6520	-0.1950
0.4704	21.6508	-0.2310
0.4704	21.6485	-0.1877
0.4706	21.6522	-0.2166
0.4706	21.6497	-0.2238
0.4707	21.6499	-0.1841
0.4708	21.6514	-0.2274
0.4708	21.6521	-0.1985
0.4709	21.6513	-0.1769
0.4710	21.6494	-0.2058
0.4711	21.6506	-0.2130
0.4712	21.6496	-0.2022
0.4712	21.6516	-0.1624
0.4712	21.6521	-0.1914
0.4712	21.6522	-0.1697
0.4713	21.6503	-0.2202
0.4733	21.6467	-0.2238
0.4733	21.6490	-0.2094
0.4735	21.6506	-0.1661
0.4736	21.6469	-0.1949
0.4737	21.6481	-0.2021
0.4738	21.6469	-0.1733
0.4739	21.6469	-0.2166
0.4740	21.6465	-0.2057
0.4741	21.6466	-0.2310
0.4742	21.6458	-0.1624
0.4742	21.6445	-0.1877
0.4742	21.6481	-0.1697
0.4745	21.6437	-0.1913
0.4748	21.6458	-0.1769
0.4748	21.6455	-0.2202
0.4749	21.6449	-0.2129
0.4750	21.6449	-0.2274
0.4752	21.6461	-0.1985
0.4756	21.6445	-0.1840
0.4766	21.6437	-0.2309
0.4770	21.6446	-0.2021
0.4771	21.6413	-0.1877
0.4772	21.6415	-0.1949
0.4772	21.6428	-0.1660
0.4774	21.6421	-0.2238
0.4774	21.6424	-0.1732
0.4776	21.6422	-0.2165
0.4778	21.6427	-0.1912
0.4778	21.6434	-0.2129
0.4779	21.6404	-0.2201
0.4779	21.6423	-0.2093
0.4779	21.6411	-0.1841
0.4779	21.6425	-0.1768
0.4783	21.6401	-0.2057
0.4784	21.6412	-0.1984
0.4785	21.6410	-0.2273
0.4786	21.6426	-0.1696
0.4788	21.6387	-0.1623
0.4799	21.6394	-0.1732
0.4805	21.6391	-0.2093
0.4805	21.6395	-0.2165
0.4805	21.6388	-0.1949
0.4806	21.6370	-0.1876
0.4807	21.6375	-0.2237
0.4809	21.6378	-0.1660
0.4811	21.6437	-0.2309
0.4812	21.6377	-0.1984
0.4813	21.6389	-0.2021
0.4813	21.6344	-0.1840
0.4814	21.6366	-0.2273
0.4815	21.6356	-0.2056
0.4815	21.6364	-0.2128
0.4816	21.6380	-0.1768
0.4818	21.6446	-0.1624
0.4819	21.6367	-0.1912
0.4820	21.6349	-0.2201
0.4823	21.6372	-0.1695
0.4832	21.6342	-0.2237
0.4836	21.6344	-0.2164
0.4836	21.6352	-0.2092
0.4840	21.6348	-0.1660
0.4840	21.6330	-0.1876
0.4840	21.6326	-0.1948
0.4841	21.6334	-0.2020
0.4843	21.6326	-0.1731
0.4844	21.6308	-0.2056
0.4846	21.6334	-0.2308
0.4847	21.6337	-0.2128
0.4850	21.6356	-0.1624
0.4850	21.6347	-0.1695
0.4852	21.6331	-0.2200
0.4855	21.6315	-0.2272
0.4855	21.6301	-0.1839
0.4857	21.6325	-0.1767
0.4858	21.6310	-0.1912
0.4860	21.6328	-0.1984
0.4870	21.6284	-0.1876
0.4871	21.6300	-0.2308
0.4875	21.6285	-0.1948
0.4876	21.6291	-0.2020
0.4877	21.6285	-0.1731
0.4878	21.6296	-0.1659
0.4880	21.6282	-0.2236
0.4881	21.6273	-0.2164
0.4881	21.6270	-0.2200
0.4883	21.6286	-0.2128
0.4883	21.6268	-0.1839
0.4884	21.6290	-0.1983
0.4884	21.6283	-0.2092
0.4884	21.6262	-0.1911
0.4887	21.6278	-0.2272
0.4887	21.6309	-0.1695
0.4888	21.6268	-0.2056
0.4891	21.6281	-0.1767
0.4894	21.6298	-0.1623
0.4904	21.6266	-0.1731
0.4908	21.6201	-0.2163
0.4912	21.6254	-0.2091
0.4912	21.6246	-0.1947
0.4912	21.6251	-0.2019
