Положение X	Положение Y	Положение Z
0.4285	21.6291	-0.1608
0.4296	21.6316	-0.1884
0.4299	21.6328	-0.2277
0.4299	21.6325	-0.2198
0.4302	21.6310	-0.2356
0.4302	21.6345	-0.2120
0.4306	21.6324	-0.2041
0.4314	21.6313	-0.1923
0.4320	21.6327	-0.2159
0.4321	21.6323	-0.1765
0.4323	21.6298	-0.2080
0.4324	21.6330	-0.2395
0.4324	21.6322	-0.1687
0.4325	21.6314	-0.1609
0.4326	21.6314	-0.2238
0.4327	21.6328	-0.2001
0.4330	21.6312	-0.1844
0.4330	21.6325	-0.2277
0.4334	21.6334	-0.2120
0.4338	21.6318	-0.2316
0.4339	21.6300	-0.2041
0.4339	21.6372	-0.2199
0.4340	21.6313	-0.2434
0.4342	21.6309	-0.1805
0.4343	21.6308	-0.1883
0.4343	21.6309	-0.1726
0.4345	21.6307	-0.2356
0.4347	21.6326	-0.1648
0.4355	21.6306	-0.2002
0.4362	21.6308	-0.2238
0.4363	21.6310	-0.2316
0.4363	21.6309	-0.2080
0.4364	21.6326	-0.1845
0.4368	21.6322	-0.2395
0.4368	21.6292	-0.1922
0.4368	21.6311	-0.1609
0.4368	21.6312	-0.1765
0.4369	21.6310	-0.2159
0.4373	21.6301	-0.1687
0.4374	21.6311	-0.2356
0.4374	21.6325	-0.2120
0.4375	21.6316	-0.1805
0.4375	21.6270	-0.1647
0.4377	21.6295	-0.2434
0.4380	21.6269	-0.2198
0.4380	21.6294	-0.2041
0.4382	21.6304	-0.1726
0.4384	21.6272	-0.1883
0.4384	21.6304	-0.1962
0.4386	21.6309	-0.2277
0.4393	21.6292	-0.2395
0.4397	21.6304	-0.2316
0.4401	21.6295	-0.2159
0.4401	21.6302	-0.1687
0.4404	21.6294	-0.2237
0.4405	21.6293	-0.1765
0.4405	21.6313	-0.2002
0.4406	21.6254	-0.1844
0.4406	21.6282	-0.2080
0.4406	21.6292	-0.1922
0.4407	21.6337	-0.1609
0.4411	21.6306	-0.1805
0.4414	21.6274	-0.1726
0.4414	21.6296	-0.2198
0.4414	21.6272	-0.2434
0.4415	21.6287	-0.1647
0.4416	21.6256	-0.1883
0.4416	21.6250	-0.1962
0.4419	21.6286	-0.2119
0.4420	21.6290	-0.2355
0.4421	21.6260	-0.2041
0.4423	21.6295	-0.2277
0.4435	21.6278	-0.2080
0.4437	21.6289	-0.2159
0.4438	21.6269	-0.2001
0.4439	21.6264	-0.1765
0.4441	21.6284	-0.1687
0.4441	21.6288	-0.1608
0.4444	21.6271	-0.1844
0.4444	21.6277	-0.1922
0.4445	21.6277	-0.2395
0.4448	21.6242	-0.2237
0.4451	21.6313	-0.2316
0.4451	21.6258	-0.2041
0.4452	21.6269	-0.1805
0.4453	21.6293	-0.2198
0.4457	21.6242	-0.2433
0.4458	21.6274	-0.1962
0.4458	21.6274	-0.1726
0.4458	21.6277	-0.2276
0.4459	21.6274	-0.2356
0.4461	21.6283	-0.1883
0.4463	21.6253	-0.2119
0.4464	21.6282	-0.1647
0.4473	21.6259	-0.2001
0.4479	21.6249	-0.1922
0.4479	21.6262	-0.1844
0.4481	21.6263	-0.1608
0.4481	21.6275	-0.2237
0.4482	21.6270	-0.2395
0.4486	21.6258	-0.1764
0.4487	21.6261	-0.2159
0.4487	21.6269	-0.2080
0.4489	21.6279	-0.1686
0.4489	21.6265	-0.2316
0.4490	21.6250	-0.2041
0.4491	21.6252	-0.2119
0.4491	21.6237	-0.2433
0.4491	21.6263	-0.2276
0.4492	21.6269	-0.1962
0.4494	21.6243	-0.2355
0.4494	21.6253	-0.1647
0.4497	21.6261	-0.2198
0.4497	21.6265	-0.1883
0.4498	21.6268	-0.1726
0.4507	21.6234	-0.2315
0.4509	21.6235	-0.1804
0.4509	21.6254	-0.2394
0.4517	21.6257	-0.2158
0.4517	21.6259	-0.1686
0.4518	21.6268	-0.2237
0.4520	21.6267	-0.1608
0.4522	21.6227	-0.1843
0.4524	21.6239	-0.1765
0.4526	21.6243	-0.2001
0.4527	21.6253	-0.1922
0.4527	21.6251	-0.2276
0.4528	21.6248	-0.1883
0.4529	21.6233	-0.1962
0.4531	21.6228	-0.2355
0.4531	21.6247	-0.1647
0.4531	21.6235	-0.2433
0.4531	21.6254	-0.2079
0.4532	21.6235	-0.2197
0.4536	21.6253	-0.1726
0.4536	21.6240	-0.2119
0.4538	21.6245	-0.1804
0.4538	21.6187	-0.2040
0.4552	21.6243	-0.1844
0.4553	21.6239	-0.2158
0.4555	21.6226	-0.1765
0.4556	21.6253	-0.2001
0.4556	21.6224	-0.2079
0.4557	21.6251	-0.1686
0.4558	21.6238	-0.1608
0.4562	21.6228	-0.1922
0.4564	21.6227	-0.2237
0.4566	21.6229	-0.2315
0.4567	21.6222	-0.2394
0.4567	21.6227	-0.1962
0.4567	21.6228	-0.2433
0.4568	21.6238	-0.2198
0.4569	21.6242	-0.2276
0.4570	21.6242	-0.1804
0.4571	21.6225	-0.1725
0.4573	21.6234	-0.2041
0.4577	21.6164	-0.1882
0.4577	21.6212	-0.2119
0.4578	21.6209	-0.2355
0.4580	21.6232	-0.1647
0.4587	21.6229	-0.2001
0.4591	21.6220	-0.2315
0.4595	21.6217	-0.1922
0.4596	21.6228	-0.1843
0.4596	21.6237	-0.2079
0.4596	21.6219	-0.2237
0.4599	21.6202	-0.1764
0.4601	21.6219	-0.1607
0.4605	21.6223	-0.1686
0.4605	21.6227	-0.2158
0.4606	21.6202	-0.2393
0.4609	21.6199	-0.2040
0.4610	21.6206	-0.2118
0.4611	21.6228	-0.1647
0.4613	21.6190	-0.1882
0.4613	21.6210	-0.2197
0.4615	21.6215	-0.1804
0.4615	21.6200	-0.2355
0.4615	21.6222	-0.1725
0.4616	21.6183	-0.2433
0.4618	21.6207	-0.2276
0.4622	21.6224	-0.1962
0.4631	21.6213	-0.2237
0.4632	21.6204	-0.2315
0.4633	21.6197	-0.2158
0.4634	21.6201	-0.1686
0.4638	21.6236	-0.1607
