Положение X	Положение Y	Положение Z
0.4730	21.6669	-0.1661
0.4730	21.6668	-0.1970
0.4731	21.6636	-0.1599
0.4734	21.6655	-0.1723
0.4735	21.6661	-0.2218
0.4735	21.6663	-0.1847
0.4735	21.6668	-0.1908
0.4735	21.6672	-0.2405
0.4735	21.6673	-0.2156
0.4735	21.6664	-0.2032
0.4736	21.6657	-0.2466
0.4737	21.6673	-0.2281
0.4737	21.6646	-0.2063
0.4737	21.6651	-0.2342
0.4738	21.6679	-0.2095
0.4739	21.6658	-0.1754
0.4739	21.6660	-0.1785
0.4739	21.6668	-0.2311
0.4739	21.6657	-0.2435
0.4741	21.6669	-0.2250
0.4741	21.6658	-0.1878
0.4743	21.6652	-0.1630
0.4744	21.6650	-0.1816
0.4758	21.6621	-0.1785
0.4758	21.6645	-0.1908
0.4760	21.6649	-0.2280
0.4761	21.6613	-0.2032
0.4762	21.6635	-0.2094
0.4763	21.6648	-0.1599
0.4763	21.6629	-0.2156
0.4763	21.6630	-0.1847
0.4764	21.6646	-0.2404
0.4764	21.6636	-0.1723
0.4764	21.6601	-0.2218
0.4765	21.6609	-0.2465
0.4766	21.6677	-0.2342
0.4767	21.6612	-0.1970
0.4768	21.6616	-0.1816
0.4768	21.6624	-0.2434
0.4769	21.6605	-0.1661
0.4770	21.6584	-0.1629
0.4770	21.6611	-0.1877
0.4771	21.6590	-0.1754
0.4772	21.6609	-0.2311
0.4773	21.6632	-0.2249
0.4775	21.6603	-0.2063
0.4786	21.6572	-0.1722
0.4788	21.6575	-0.1846
0.4788	21.6568	-0.2031
0.4788	21.6569	-0.1908
0.4788	21.6576	-0.2093
0.4789	21.6590	-0.2404
0.4789	21.6577	-0.2279
0.4790	21.6593	-0.2156
0.4791	21.6562	-0.1660
0.4791	21.6558	-0.2464
0.4791	21.6574	-0.2341
0.4791	21.6569	-0.2217
0.4792	21.6582	-0.1599
0.4792	21.6559	-0.2434
0.4799	21.6563	-0.1784
0.4799	21.6568	-0.1877
0.4800	21.6551	-0.1969
0.4800	21.6556	-0.2248
0.4800	21.6530	-0.1629
0.4802	21.6536	-0.1753
0.4802	21.6542	-0.1691
0.4802	21.6564	-0.1815
0.4803	21.6556	-0.2063
0.4803	21.6510	-0.2186
0.4804	21.6542	-0.2001
0.4805	21.6547	-0.2310
0.4818	21.6492	-0.1660
0.4820	21.6521	-0.2341
0.4821	21.6516	-0.1969
0.4821	21.6517	-0.2464
0.4822	21.6564	-0.1599
0.4823	21.6521	-0.2217
0.4823	21.6509	-0.2093
0.4824	21.6528	-0.2403
0.4824	21.6503	-0.2279
0.4824	21.6507	-0.2031
0.4825	21.6499	-0.1876
0.4825	21.6533	-0.1846
0.4825	21.6521	-0.1722
0.4825	21.6511	-0.2062
0.4825	21.6481	-0.1753
0.4826	21.6499	-0.1907
0.4826	21.6524	-0.2248
0.4827	21.6518	-0.2155
0.4828	21.6532	-0.2310
0.4829	21.6506	-0.2186
0.4829	21.6492	-0.1783
0.4830	21.6531	-0.2372
0.4831	21.6519	-0.2124
0.4832	21.6486	-0.1629
0.4832	21.6488	-0.2433
0.4833	21.6488	-0.1815
0.4833	21.6498	-0.1691
0.4833	21.6485	-0.2000
0.4837	21.6497	-0.1938
0.4843	21.6455	-0.1783
0.4845	21.6479	-0.2216
0.4847	21.6483	-0.2463
0.4849	21.6477	-0.2093
0.4850	21.6446	-0.1968
0.4850	21.6495	-0.2278
0.4851	21.6463	-0.1907
0.4852	21.6466	-0.2402
0.4852	21.6418	-0.1628
0.4852	21.6481	-0.1721
0.4852	21.6488	-0.1846
0.4853	21.6457	-0.2154
0.4854	21.6459	-0.1598
0.4855	21.6462	-0.2340
0.4855	21.6434	-0.2030
0.4856	21.6451	-0.1938
0.4857	21.6442	-0.1659
0.4858	21.6445	-0.2432
0.4859	21.6418	-0.1814
0.4859	21.6451	-0.1690
0.4859	21.6460	-0.2124
0.4859	21.6478	-0.2371
0.4860	21.6454	-0.2000
0.4860	21.6456	-0.2186
0.4861	21.6432	-0.2309
0.4862	21.6440	-0.2247
0.4863	21.6399	-0.2061
0.4863	21.6423	-0.1876
0.4867	21.6423	-0.1752
0.4875	21.6422	-0.1845
0.4877	21.6401	-0.1906
0.4877	21.6431	-0.2092
0.4877	21.6419	-0.2030
