//X Y Z R G B
-0.002 21.663 -0.211 0 252 2
-0.002 21.673 -0.222 0 166 88
-0.002 21.656 -0.184 208 255 0
-0.001 21.656 -0.233 0 83 171
-0.001 21.656 -0.227 0 126 128
-0.001 21.662 -0.216 0 210 44
-0.001 21.654 -0.189 166 255 0
-0.001 21.657 -0.238 0 41 213
-0.001 21.652 -0.243 0 0 255
-0.001 21.626 -0.200 84 255 0
-0.001 21.664 -0.195 124 255 0
-0.001 21.659 -0.206 39 255 0
0.001 21.644 -0.233 0 85 169
0.001 21.650 -0.222 0 169 85
0.001 21.646 -0.206 40 255 0
0.001 21.629 -0.243 0 2 252
0.001 21.644 -0.227 0 127 127
0.001 21.648 -0.216 0 211 43
0.002 21.648 -0.195 125 255 0
0.002 21.651 -0.200 83 255 0
0.002 21.606 -0.156 255 87 0
0.002 21.638 -0.184 210 255 0
0.002 21.637 -0.238 0 43 211
0.002 21.624 -0.162 255 131 0
0.002 21.640 -0.189 167 255 0
0.002 21.648 -0.211 0 253 1
0.002 21.636 -0.178 252 255 0
0.004 21.623 -0.238 0 44 210
0.004 21.631 -0.205 41 255 0
0.004 21.625 -0.211 0 255 0
0.004 21.625 -0.194 127 255 0
0.004 21.609 -0.243 0 3 251
0.004 21.622 -0.216 0 213 41
0.004 21.624 -0.189 168 255 0
0.004 21.596 -0.162 255 129 0
0.004 21.603 -0.167 255 171 0
0.004 21.617 -0.178 253 255 0
0.004 21.619 -0.184 211 255 0
0.004 21.622 -0.221 0 171 83
0.004 21.616 -0.232 0 87 167
0.004 21.621 -0.227 0 129 125
0.004 21.606 -0.173 255 213 0
0.005 21.579 -0.156 255 85 0
0.005 21.585 -0.151 255 44 0
0.005 21.563 -0.145 255 1 0
0.006 21.609 -0.200 85 255 0
0.006 21.594 -0.210 2 255 0
0.006 21.573 -0.156 255 85 0
0.007 21.570 -0.167 255 169 0
0.007 21.569 -0.162 255 127 0
0.007 21.584 -0.178 255 254 0
0.007 21.558 -0.145 255 0 0
0.007 21.589 -0.183 213 255 0
0.007 21.586 -0.232 0 89 165
0.007 21.589 -0.194 129 255 0
0.007 21.565 -0.151 255 43 0
0.007 21.578 -0.172 255 212 0
0.007 21.590 -0.221 0 173 81
0.007 21.590 -0.227 0 132 122
0.007 21.580 -0.237 0 47 207
0.007 21.577 -0.243 0 6 248
0.007 21.584 -0.216 0 216 38
0.007 21.579 -0.205 46 255 0
0.007 21.584 -0.199 87 255 0
0.007 21.582 -0.189 171 255 0
0.009 21.560 -0.232 0 91 163
0.009 21.550 -0.172 255 210 0
0.009 21.551 -0.221 0 176 78
0.009 21.557 -0.205 47 255 0
0.009 21.556 -0.226 0 134 120
0.009 21.545 -0.156 255 84 0
0.009 21.552 -0.215 0 218 36
0.009 21.555 -0.183 215 255 0
0.009 21.560 -0.194 130 255 0
0.009 21.560 -0.242 0 8 246
0.009 21.559 -0.199 88 255 0
0.010 21.559 -0.237 0 50 204
0.010 21.552 -0.178 255 252 0
0.010 21.554 -0.210 5 255 0
0.010 21.547 -0.167 255 169 0
0.010 21.545 -0.161 255 125 0
0.011 21.548 -0.188 174 255 0
