//X Y Z R G B
-0.001 21.651 -0.239 0 53 201
-0.001 21.648 -0.176 231 255 0
-0.001 21.650 -0.234 0 92 162
-0.001 21.645 -0.245 0 14 240
-0.001 21.651 -0.228 0 132 122
-0.001 21.650 -0.182 190 255 0
-0.000 21.650 -0.211 0 249 5
0.002 21.639 -0.187 152 255 0
0.002 21.638 -0.234 0 93 161
0.002 21.634 -0.245 0 14 240
0.002 21.638 -0.182 191 255 0
0.002 21.638 -0.239 0 54 200
0.002 21.643 -0.199 74 255 0
0.002 21.640 -0.210 0 250 4
0.002 21.639 -0.216 0 210 44
0.002 21.639 -0.222 0 171 83
0.002 21.637 -0.205 35 255 0
0.002 21.639 -0.193 112 255 0
0.002 21.635 -0.228 0 133 121
0.002 21.635 -0.176 231 255 0
0.004 21.628 -0.210 0 251 3
0.004 21.621 -0.170 255 239 0
0.005 21.621 -0.176 231 255 0
0.005 21.625 -0.228 0 133 121
0.005 21.620 -0.187 153 255 0
0.005 21.621 -0.199 74 255 0
0.005 21.621 -0.193 114 255 0
0.005 21.620 -0.181 192 255 0
0.005 21.621 -0.205 35 255 0
0.005 21.624 -0.216 0 212 42
0.005 21.621 -0.233 0 94 160
0.005 21.624 -0.222 0 172 82
0.005 21.622 -0.239 0 55 199
0.006 21.617 -0.245 0 16 238
0.007 21.605 -0.176 232 255 0
0.007 21.606 -0.170 255 238 0
0.007 21.609 -0.239 0 56 198
0.007 21.606 -0.187 154 255 0
0.008 21.607 -0.227 0 134 120
0.008 21.606 -0.199 75 255 0
0.008 21.607 -0.222 0 174 80
0.008 21.609 -0.233 0 95 159
0.008 21.599 -0.158 255 159 0
0.008 21.605 -0.181 193 255 0
0.008 21.606 -0.216 0 213 41
0.008 21.601 -0.210 0 252 2
0.008 21.601 -0.193 115 255 0
0.008 21.600 -0.245 0 17 237
0.008 21.593 -0.152 255 119 0
0.008 21.599 -0.204 37 255 0
0.009 21.595 -0.184 174 255 0
0.009 21.598 -0.242 0 37 217
0.009 21.596 -0.196 96 255 0
0.009 21.598 -0.230 0 115 139
0.009 21.590 -0.247 0 0 255
0.009 21.595 -0.224 0 156 98
0.009 21.595 -0.201 57 255 0
0.009 21.598 -0.233 0 96 158
0.010 21.593 -0.187 155 255 0
0.010 21.578 -0.147 255 80 0
0.010 21.590 -0.181 194 255 0
0.010 21.590 -0.239 0 58 196
0.010 21.587 -0.198 77 255 0
0.010 21.592 -0.221 0 174 80
0.010 21.589 -0.216 0 214 40
0.011 21.581 -0.152 255 118 0
0.011 21.585 -0.210 0 254 0
0.011 21.585 -0.158 255 158 0
0.011 21.585 -0.244 0 19 235
0.011 21.582 -0.175 234 255 0
0.011 21.590 -0.227 0 136 118
0.011 21.581 -0.170 255 237 0
0.012 21.576 -0.161 255 177 0
0.012 21.578 -0.201 58 255 0
0.012 21.578 -0.190 136 255 0
0.012 21.573 -0.247 0 0 254
0.012 21.578 -0.195 97 255 0
0.012 21.578 -0.224 0 157 97
0.012 21.575 -0.184 175 255 0
0.012 21.577 -0.236 0 78 176
0.012 21.578 -0.204 38 255 0
0.012 21.580 -0.193 116 255 0
0.012 21.573 -0.241 0 39 215
0.012 21.572 -0.230 0 118 136
0.013 21.571 -0.210 0 254 0
0.013 21.569 -0.175 234 255 0
0.013 21.569 -0.244 0 20 234
0.013 21.561 -0.141 255 39 0
0.013 21.566 -0.152 255 118 0
0.013 21.571 -0.169 255 236 0
0.013 21.571 -0.198 77 255 0
0.013 21.570 -0.187 157 255 0
0.013 21.567 -0.227 0 137 117
0.014 21.569 -0.181 195 255 0
0.014 21.560 -0.146 255 79 0
0.014 21.568 -0.158 255 157 0
0.014 21.569 -0.204 38 255 0
0.014 21.573 -0.233 0 97 157
0.014 21.570 -0.238 0 59 195
0.014 21.568 -0.215 0 216 38
0.014 21.566 -0.192 118 255 0
0.014 21.567 -0.221 0 177 77
0.014 21.561 -0.178 216 255 0
0.014 21.562 -0.241 0 40 214
0.014 21.556 -0.230 0 118 136
0.014 21.558 -0.247 0 1 253
0.014 21.557 -0.184 177 255 0
0.014 21.557 -0.195 98 255 0
0.015 21.557 -0.235 0 80 174
0.015 21.553 -0.161 255 176 0
0.015 21.554 -0.190 137 255 0
0.015 21.554 -0.224 0 158 96
0.015 21.553 -0.201 59 255 0
0.016 21.554 -0.221 0 177 77
0.016 21.548 -0.135 255 0 0
0.016 21.550 -0.169 255 234 0
0.016 21.552 -0.187 157 255 0
0.016 21.551 -0.198 79 255 0
0.016 21.556 -0.233 0 99 155
0.016 21.549 -0.192 118 255 0
0.016 21.551 -0.204 40 255 0
0.016 21.548 -0.227 0 139 115
0.016 21.551 -0.181 196 255 0
0.016 21.556 -0.238 0 60 194
0.016 21.546 -0.146 255 78 0
0.016 21.552 -0.215 0 216 38
0.016 21.555 -0.244 0 21 233
0.017 21.548 -0.152 255 118 0
0.017 21.547 -0.158 255 157 0
0.017 21.545 -0.140 255 38 0
0.017 21.549 -0.210 0 255 0
0.017 21.546 -0.235 0 80 174
0.017 21.547 -0.247 0 2 252
0.018 21.546 -0.241 0 41 213
