Положение X	Положение Y	Положение Z
0.4898	21.6622	-0.1583
0.4912	21.6637	-0.1552
0.4919	21.6610	-0.1613
0.4924	21.6623	-0.1583
0.4938	21.6651	-0.2233
0.4939	21.6632	-0.1738
0.4939	21.6628	-0.1861
0.4941	21.6636	-0.1923
0.4941	21.6656	-0.1676
0.4942	21.6618	-0.2171
0.4942	21.6631	-0.2047
0.4944	21.6649	-0.2295
0.4946	21.6604	-0.1985
0.4946	21.6595	-0.1799
0.4947	21.6638	-0.2357
0.4949	21.6629	-0.2109
0.4950	21.6500	-0.1582
0.4954	21.6540	-0.1613
0.4955	21.6608	-0.2388
0.4957	21.6550	-0.1644
0.4968	21.6538	-0.2047
0.4968	21.6533	-0.1985
0.4969	21.6566	-0.1551
0.4969	21.6558	-0.2109
0.4969	21.6553	-0.2294
0.4969	21.6554	-0.1675
0.4972	21.6516	-0.1922
0.4974	21.6443	-0.2231
0.4974	21.6533	-0.2356
0.4974	21.6447	-0.1612
0.4975	21.6508	-0.1737
0.4976	21.6521	-0.1860
0.4982	21.6451	-0.1643
0.4983	21.6480	-0.1798
0.4984	21.6500	-0.1768
0.4984	21.6494	-0.2170
0.4985	21.6488	-0.1582
0.4988	21.6481	-0.1706
0.4991	21.6478	-0.2386
0.4994	21.6437	-0.1984
0.4995	21.6433	-0.1860
0.4996	21.6462	-0.2232
0.4997	21.6432	-0.1736
0.4997	21.6407	-0.1612
0.4998	21.6438	-0.2355
0.4999	21.6415	-0.1921
0.5000	21.6393	-0.2107
0.5001	21.6434	-0.1798
0.5001	21.6449	-0.1674
0.5003	21.6406	-0.2169
0.5004	21.6405	-0.2293
0.5004	21.6523	-0.1551
0.5006	21.6406	-0.2045
0.5007	21.6426	-0.1643
0.5011	21.6391	-0.1581
0.5014	21.6400	-0.2385
0.5015	21.6364	-0.1766
0.5015	21.6352	-0.1890
0.5015	21.6390	-0.1705
0.5023	21.6318	-0.2230
0.5023	21.6318	-0.1859
0.5024	21.6336	-0.1735
0.5025	21.6330	-0.2045
0.5025	21.6333	-0.2292
0.5026	21.6293	-0.2168
0.5027	21.6408	-0.1551
0.5027	21.6326	-0.1920
0.5027	21.6322	-0.1611
0.5029	21.6309	-0.1797
0.5029	21.6306	-0.2353
0.5029	21.6311	-0.1983
0.5029	21.6359	-0.1674
0.5029	21.6310	-0.2106
0.5037	21.6306	-0.1766
0.5038	21.6273	-0.1889
0.5039	21.6276	-0.1580
0.5039	21.6278	-0.1951
0.5039	21.6279	-0.2013
0.5040	21.6293	-0.2384
0.5040	21.6283	-0.2136
0.5040	21.6285	-0.2260
0.5041	21.6268	-0.1704
0.5041	21.6283	-0.2198
0.5041	21.6258	-0.2074
0.5042	21.6257	-0.1827
0.5043	21.6266	-0.1642
0.5045	21.6280	-0.2322
0.5052	21.6216	-0.2167
0.5052	21.6201	-0.2043
0.5052	21.6203	-0.1982
0.5053	21.6207	-0.2291
0.5053	21.6201	-0.2105
0.5053	21.6212	-0.1796
0.5054	21.6214	-0.2352
0.5055	21.6238	-0.1673
0.5056	21.6232	-0.1549
0.5058	21.6097	-0.1609
0.5059	21.6198	-0.1919
0.5059	21.6198	-0.1734
0.5062	21.6168	-0.2228
0.5063	21.6164	-0.1857
0.5066	21.6148	-0.2259
0.5067	21.6176	-0.1765
0.5067	21.6187	-0.1704
0.5069	21.6127	-0.1641
0.5069	21.6129	-0.1826
0.5069	21.6178	-0.2321
0.5069	21.6174	-0.2197
0.5069	21.6146	-0.2136
0.5069	21.6125	-0.2012
0.5070	21.6145	-0.1888
0.5070	21.6132	-0.2073
0.5072	21.6168	-0.1950
0.5072	21.6152	-0.2383
0.5073	21.6160	-0.1579
0.5079	21.6110	-0.1733
0.5079	21.6115	-0.1981
0.5081	21.6103	-0.1857
0.5082	21.6080	-0.2227
0.5083	21.6104	-0.1795
0.5084	21.6113	-0.2351
0.5084	21.6144	-0.1549
0.5084	21.6101	-0.1672
0.5084	21.6019	-0.1610
0.5084	21.6094	-0.1918
0.5086	21.6074	-0.2042
0.5089	21.6076	-0.2289
0.5090	21.6050	-0.2104
0.5092	21.6061	-0.2166
0.5092	21.6049	-0.1640
0.5092	21.6074	-0.2072
0.5093	21.6007	-0.1578
0.5093	21.6069	-0.1703
0.5094	21.6070	-0.2320
0.5095	21.6055	-0.2196
0.5096	21.6042	-0.2134
0.5096	21.6030	-0.2011
0.5097	21.6057	-0.1949
0.5097	21.6064	-0.1764
0.5098	21.6028	-0.2258
0.5098	21.6047	-0.1887
0.5099	21.6057	-0.2382
0.5100	21.6023	-0.1825
0.5107	21.5997	-0.2226
0.5108	21.5996	-0.1733
0.5108	21.5985	-0.1856
0.5109	21.6041	-0.1671
0.5110	21.5960	-0.2041
0.5110	21.5971	-0.2103
0.5111	21.5987	-0.2165
0.5111	21.5994	-0.1609
0.5111	21.5996	-0.2289
0.5111	21.6000	-0.1918
0.5112	21.5964	-0.1794
0.5113	21.6084	-0.1548
0.5113	21.5952	-0.1979
0.5116	21.5962	-0.2350
0.5120	21.5949	-0.1887
0.5121	21.5926	-0.1763
0.5121	21.5932	-0.1825
0.5122	21.5958	-0.1948
0.5122	21.5965	-0.2381
0.5122	21.5940	-0.2257
0.5123	21.5936	-0.1578
0.5123	21.5947	-0.2133
0.5124	21.5949	-0.2195
0.5124	21.5928	-0.2010
0.5125	21.5915	-0.2071
0.5125	21.5949	-0.1702
0.5127	21.5943	-0.2318
0.5127	21.5918	-0.1639
0.5135	21.5888	-0.2164
0.5135	21.5848	-0.2040
0.5136	21.5837	-0.2102
0.5137	21.5921	-0.1670
0.5137	21.5882	-0.2287
0.5138	21.5867	-0.1793
0.5139	21.5838	-0.1978
0.5140	21.5860	-0.2225
0.5141	21.5866	-0.1608
0.5142	21.5937	-0.1547
0.5142	21.5866	-0.2349
0.5144	21.5835	-0.1854
0.5144	21.5837	-0.1916
0.5145	21.5824	-0.1731
0.5147	21.5834	-0.2194
0.5147	21.5836	-0.1947
0.5148	21.5831	-0.2132
0.5148	21.5816	-0.2009
0.5148	21.5820	-0.2255
0.5149	21.5849	-0.1762
0.5151	21.5777	-0.2070
0.5152	21.5782	-0.1885
0.5152	21.5784	-0.1577
0.5152	21.5834	-0.1701
0.5153	21.5856	-0.1824
0.5155	21.5811	-0.2317
0.5155	21.5829	-0.1639
0.5158	21.5786	-0.2379
0.5163	21.5761	-0.2224
0.5163	21.5791	-0.2348
0.5165	21.5735	-0.1792
0.5165	21.5751	-0.1977
0.5166	21.5748	-0.1854
0.5166	21.5753	-0.1915
0.5167	21.5780	-0.1608
0.5167	21.5774	-0.1731
0.5167	21.5738	-0.2101
0.5168	21.5725	-0.2039
0.5169	21.5735	-0.2286
0.5170	21.5718	-0.2162
0.5171	21.5733	-0.2193
0.5171	21.5782	-0.1669
0.5173	21.5747	-0.1700
0.5173	21.5707	-0.2069
0.5174	21.5788	-0.1545
0.5175	21.5721	-0.2316
0.5177	21.5728	-0.1638
0.5178	21.5677	-0.2131
0.5179	21.5771	-0.1577
0.5179	21.5707	-0.2378
0.5180	21.5686	-0.1884
0.5180	21.5696	-0.2008
0.5180	21.5703	-0.1761
0.5181	21.5685	-0.1946
0.5181	21.5696	-0.2254
0.5183	21.5706	-0.1823
0.5189	21.5664	-0.1730
0.5189	21.5653	-0.1853
0.5191	21.5640	-0.2223
0.5192	21.5634	-0.2038
0.5194	21.5638	-0.1914
0.5194	21.5649	-0.2285
0.5194	21.5638	-0.2161
0.5195	21.5704	-0.1546
0.5196	21.5611	-0.1976
0.5196	21.5644	-0.2346
0.5197	21.5607	-0.2099
0.5198	21.5590	-0.1606
0.5198	21.5593	-0.1791
0.5199	21.5667	-0.1668
0.5201	21.5612	-0.2253
0.5203	21.5610	-0.1883
0.5203	21.5610	-0.1822
0.5203	21.5614	-0.2377
0.5204	21.5590	-0.2007
0.5205	21.5559	-0.1575
0.5206	21.5592	-0.1760
0.5207	21.5598	-0.1699
0.5207	21.5599	-0.1945
0.5208	21.5585	-0.2314
0.5208	21.5566	-0.2068
0.5208	21.5574	-0.2129
0.5208	21.5580	-0.2191
0.5211	21.5558	-0.1637
0.5217	21.5527	-0.2099
0.5218	21.5543	-0.2037
0.5218	21.5550	-0.2284
0.5219	21.5490	-0.2405
0.5219	21.5535	-0.2160
0.5220	21.5583	-0.1668
0.5222	21.5514	-0.1975
0.5223	21.5511	-0.1790
0.5224	21.5497	-0.2222
0.5224	21.5630	-0.1544
0.5225	21.5507	-0.1729
0.5227	21.5489	-0.2344
0.5229	21.5502	-0.2252
0.5229	21.5471	-0.1851
0.5230	21.5493	-0.1913
0.5230	21.5495	-0.1606
0.5231	21.5486	-0.2006
0.5232	21.5484	-0.2128
0.5233	21.5489	-0.1759
0.5234	21.5493	-0.1574
0.5234	21.5494	-0.1944
0.5235	21.5491	-0.2190
0.5235	21.5493	-0.1698
0.5236	21.5503	-0.1636
0.5236	21.5447	-0.1820
0.5237	21.5466	-0.2313
0.5237	21.5468	-0.1882
0.5239	21.5461	-0.2067
0.5240	21.5465	-0.2375
0.5246	21.5426	-0.1974
0.5248	21.5418	-0.1851
0.5249	21.5423	-0.1728
0.5250	21.5421	-0.2344
0.5250	21.5404	-0.1912
0.5251	21.5397	-0.1605
0.5251	21.5427	-0.2098
0.5251	21.5420	-0.2221
0.5252	21.5402	-0.2282
0.5253	21.5388	-0.2035
0.5254	21.5389	-0.2404
0.5254	21.5408	-0.2159
0.5254	21.5458	-0.1667
0.5255	21.5515	-0.1544
0.5256	21.5392	-0.2313
0.5258	21.5373	-0.2066
0.5259	21.5389	-0.1574
0.5259	21.5397	-0.1697
0.5259	21.5353	-0.1820
0.5259	21.5318	-0.1788
0.5262	21.5353	-0.2189
0.5262	21.5370	-0.1635
0.5262	21.5347	-0.1881
0.5263	21.5363	-0.2128
0.5264	21.5348	-0.1943
0.5264	21.5354	-0.2374
0.5264	21.5320	-0.2250
0.5265	21.5341	-0.1758
0.5267	21.5331	-0.2004
0.5273	21.5269	-0.2158
0.5274	21.5294	-0.1727
0.5274	21.5258	-0.2219
0.5274	21.5248	-0.1849
0.5276	21.5275	-0.2096
0.5276	21.5312	-0.1542
0.5277	21.5294	-0.1911
0.5277	21.5212	-0.1973
0.5277	21.5337	-0.2035
0.5277	21.5273	-0.2342
0.5278	21.5263	-0.2281
0.5278	21.5221	-0.1788
0.5279	21.5296	-0.1604
0.5279	21.5250	-0.2403
0.5281	21.5344	-0.1666
0.5285	21.5266	-0.2373
0.5286	21.5253	-0.1819
0.5286	21.5254	-0.1881
0.5288	21.5237	-0.2004
0.5289	21.5249	-0.1573
0.5290	21.5216	-0.2064
0.5290	21.5230	-0.1757
0.5290	21.5243	-0.2188
